fid,gfk,bezgfk,ofl,bezofl,aog,aug,hoh,bat,bezbat,nam,baw,bezbaw,zus,bezzus,gkn,des,bezdes,lag,namlag,hnr,pnr,lnr,bezeich,uuid,id,gmlid,gmlid_code,name,name_codes,descriptio,creation_d,terminatio,relative_t,relative_1,last_modif,updating_p,reason_for,lineage,building_i
929,"2120",Werkstatt,,,"1",,,,,,,,,,"11000004033440003","4200",Aus Katasterkarten digitalisiert,"03344",Osnabrücker Straße,,"3","1",AX_Gebaeude,DEBE04YY50000FW2,705,UUID_2104932f-460d-4fe3-b24f-b928286aec54,,,,,2024/02/05 04:16:17.990,,,,2024/02/05 04:16:17.990,citydb_user,,,678
930,"2142",Speichergebäude,,,"1",,,,,,,,,,"11000004002520005","4200",Aus Katasterkarten digitalisiert,"00252",Am Spreebord,,"5","19",AX_Gebaeude,DEBE04YY50000Gyq,,,,,,,,,,,,,,,
931,"1010",Wohnhaus,,,"5",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004033440022","4200",Aus Katasterkarten digitalisiert,"03344",Osnabrücker Straße 22,"22",,,AX_Gebaeude,DEBE04YY50000Pqq,1852,UUID_2283436b-b74f-4ad8-8876-dc117adf2596,,,,,2024/02/05 04:16:20.188,,,,2024/02/05 04:16:20.188,citydb_user,,,1840
932,"2111",Fabrik,,,"6",,,,,,,,,,"11000004021430015","4200",Aus Katasterkarten digitalisiert,"02143",Ilsenburger Straße,,"15","1",AX_Gebaeude,DEBE04YY50000RFq,2321,DEB_LOD2_UUID_1f08ae1c-3681-408e-8e47-5bb5ce1cac15_b52660e4-b718-4fed-be41-3adf5999e859,,,,,2024/02/05 04:16:21.267,,,,2024/02/05 04:16:21.267,citydb_user,,,2158
933,,,,,"2",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000E0R,2774,DEB_LOD2_UUID_6995a9ba-b064-489e-8a23-03d0b9380210_28ee68d7-9d63-458a-b7bf-2481d918abc0,,,,,2024/02/05 04:16:21.627,,,,2024/02/05 04:16:21.627,citydb_user,,,2528
934,,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000NOs,1563,UUID_9ba4a185-96e0-4b06-b88d-0815d35de6c6,,,,,2024/02/05 04:16:19.801,,,,2024/02/05 04:16:19.801,citydb_user,,,1558
935,"1010",Wohnhaus,,,"5",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004023140020","4200",Aus Katasterkarten digitalisiert,"02314, 03312","Kamminer Straße 20, 21, 20A; Olbersstraße 24, 26, 28",,,,AX_Gebaeude,DEBE04YY50000REP,,,,,,,,,,,,,,,
936,"1010",Wohnhaus,,,"5",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004032660012","4200",Aus Katasterkarten digitalisiert,"03266","Nordhauser Straße 12, 12A",,,,AX_Gebaeude,DEBE04YY50000RhR,975,UUID_fd851ef1-35e8-45df-b530-ab4f99842031,,,,,2024/02/05 04:16:18.316,,,,2024/02/05 04:16:18.316,citydb_user,,,968
937,,,,,,,,"2610",Durchfahrt im Gebäude,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002YYP,1677,UUID_27e4f717-7b59-41b2-9125-ccf1f8cbcdf1,,,,,2024/02/05 04:16:19.932,,,,2024/02/05 04:16:19.932,citydb_user,,,1668
938,"1010",Wohnhaus,,,"6",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004030810011","4200",Aus Katasterkarten digitalisiert,"03081",Mindener Straße 11,"11",,,AX_Gebaeude,DEBE04YY50000GXe,1471,UUID_576015cb-6e0d-477a-a15f-ef3e362e8fe5,,,,,2024/02/05 04:16:19.589,,,,2024/02/05 04:16:19.589,citydb_user,,,1464
