blknr,bez,bezname,plr,blktypname,ewk,area,datum,schl5,ew2022,flalle,ew_ha_2022,alter_u6,alter_6_u1,alter_10_u,alter_18_u,alter_65_u,alter_70_u,alter75_u8,alter_80pl,typklar
"020055","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,77514.328125000014552,1994/11/24 00:00:00.000,"0700200551000100","451",31923.570345000000088,141.270000000000010,"23","6","24","325","20","21","14","18",Neubau-Schule (Baujahr nach 1945)
"020057","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,6223.313964843750000,1994/06/01 00:00:00.000,"0700200571000000","277",6162.697267999999895,449.480000000000018,"10","9","13","181","16","10","9","29","Blockrandbebauung mit Großhöfen (1920er - 1940er), 2 - 5-geschossig"
"020058","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,5485.676757812500909,1994/06/01 00:00:00.000,"0700200581000000","374",5503.682757999999922,679.539999999999964,"22","15","23","245","21","19","9","20","Blockrandbebauung mit Großhöfen (1920er - 1940er), 2 - 5-geschossig"
"020059","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,12303.541992187500000,1994/06/01 00:00:00.000,"0700200591000000","216",12248.013444999998683,176.360000000000014,"9","0","6","167","21","9","4","0","Blockrandbebauung mit Großhöfen (1920er - 1940er), 2 - 5-geschossig"
"020670","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,43202.726562500000000,1993/06/30 00:00:00.000,"0700206701000100","73",25863.140297000001738,28.230000000000000,"0","0","6","49","3","3","3","9",Altbau-Schule (Baujahr vor 1945)
"020672","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,13669.580078125000000,1995/08/02 00:00:00.000,"0700206721000000","444",13576.706244000000879,327.029999999999973,"19","21","41","285","27","22","22","7","Mischgebiet ohne Wohngebietscharakter, dichte Bebauung"
"020673","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,12674.413085937500000,1994/10/19 00:00:00.000,"0700206731000000","253",13275.007505999998102,190.580000000000013,"26","3","3","158","18","18","18","9","Blockrandbebauung mit Großhöfen (1920er - 1940er), 2 - 5-geschossig"
"020691","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,34357.222656250000000,1994/11/24 00:00:00.000,"0700206911000000","815",35366.810161000001244,230.439999999999998,"34","34","28","559","46","52","22","40","Freie Zeilenbebauung mit landschaftlichem Siedlungsgrün (1950er - 1970er), 2 - 6-geschossig"
"020902","04",Charlottenburg-Wilmersdorf,"04300517",Bahnblock,unbewohnt,44769.953125000000000,1994/11/24 00:00:00.000,"0700197081000000","21",18417.740827000001445,11.400000000000000,"3","0","0","18","0","0","0","0",Parkplatz
"021060","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,15312.609375000000000,1993/07/01 00:00:00.000,"0700210601000000","274",15322.782363000000259,178.819999999999993,"26","6","12","197","15","9","3","6","Mischgebiet ohne Wohngebietscharakter, dichte Bebauung"
"021061","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,130373.609375000000000,2003/06/18 00:00:00.000,"0700210611000100","195",13618.155292999999801,143.189999999999998,"16","4","11","118","15","15","10","6",Geschosswohnungsbau der 1990er Jahre und jünger
"021062","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,26549.175781250000000,1994/11/24 00:00:00.000,"0700210621000000","175",26172.458768000000418,66.859999999999999,"7","9","6","132","6","6","0","9","Mischgebiet ohne Wohngebietscharakter, dichte Bebauung"
