blknr,bez,bezname,plr,blktypname,ewk,area,datum,schl5,ew2020,flalle,ew_ha_2020,typklar
"020057","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,6223.313964843750000,1994/06/01 00:00:00.000,"0700200571000000",273.000000000000000,6163.000000000000000,442.970000000000027,"Blockrandbebauung mit Großhöfen (1920er - 1940er), 2 - 5-geschossig"
"020058","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,5485.676757812500909,1994/06/01 00:00:00.000,"0700200581000000",372.000000000000000,5504.000000000000000,675.870000000000005,"Blockrandbebauung mit Großhöfen (1920er - 1940er), 2 - 5-geschossig"
"020059","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,12303.541992187500000,1994/06/01 00:00:00.000,"0700200591000000",206.000000000000000,12248.000000000000000,168.189999999999998,"Blockrandbebauung mit Großhöfen (1920er - 1940er), 2 - 5-geschossig"
"020670","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,43202.726562500000000,1993/06/30 00:00:00.000,"0700206701000100",65.000000000000000,25863.000000000000000,25.129999999999999,Altbau-Schule (Baujahr vor 1945)
"020672","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,13669.580078125000000,1995/08/02 00:00:00.000,"0700206721000000",486.000000000000000,13577.000000000000000,357.959999999999980,"Mischgebiet ohne Wohngebietscharakter, dichte Bebauung"
"020673","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,12674.413085937500000,1994/10/19 00:00:00.000,"0700206731000000",248.000000000000000,13275.000000000000000,186.819999999999993,"Blockrandbebauung mit Großhöfen (1920er - 1940er), 2 - 5-geschossig"
"020691","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,34357.222656250000000,1994/11/24 00:00:00.000,"0700206911000000",826.000000000000000,35367.000000000000000,233.550000000000011,"Freie Zeilenbebauung mit landschaftlichem Siedlungsgrün (1950er - 1970er), 2 - 6-geschossig"
"020902","04",Charlottenburg-Wilmersdorf,"04300517",Bahnblock,unbewohnt,44769.953125000000000,1994/11/24 00:00:00.000,"0700197081000000",19.000000000000000,18418.000000000000000,10.320000000000000,Parkplatz
"021060","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,15312.609375000000000,1993/07/01 00:00:00.000,"0700210601000000",285.000000000000000,15323.000000000000000,185.990000000000009,"Gewerbe- und Industriegebiet, großflächiger Einzelhandel, geringe Bebauung"
"021061","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,130373.609375000000000,2003/06/18 00:00:00.000,"0700210611000100",186.000000000000000,13618.000000000000000,136.580000000000013,Geschosswohnungsbau der 1990er Jahre und jünger
"021062","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,26549.175781250000000,1994/11/24 00:00:00.000,"0700210621000000",168.000000000000000,26173.000000000000000,64.189999999999998,"Gewerbe- und Industriegebiet, großflächiger Einzelhandel, geringe Bebauung"
