blknr,bez,bezname,plr,blktypname,ewk,area,datum,fid,gfk,bezgfk,ofl,bezofl,aog,aug,hoh,bat,bezbat,nam,baw,bezbaw,zus,bezzus,gkn,des,bezdes,lag,namlag,hnr,pnr,lnr,bezeich,uuid
"020052","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,10858.265625000000000,1994/06/01 00:00:00.000,854,"1010",Wohnhaus,,,"5",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004021430016","4200",Aus Katasterkarten digitalisiert,"02143, 02289","Ilsenburger Straße 16; Kaiserin-Augusta-Allee 90",,,,AX_Gebaeude,DEBE04YY500006HB
"020053","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,10324.307617187500000,1994/06/01 00:00:00.000,293,"3041",Kirche,,,"3",,,,,Neuapostolische Kirche,,,,,"11000004048030010","4200",Aus Katasterkarten digitalisiert,"04803",Wernigeroder Straße 10,"10",,,AX_Gebaeude,DEBE04YY5000009G
"020054","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,8621.159179687500000,1994/06/01 00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,
"020055","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,77514.328125000014552,1994/11/24 00:00:00.000,917,"2612",Toilette,,,"1",,,,,,,,,,"11000004042020015","4200",Aus Katasterkarten digitalisiert,"04202",Sömmeringstraße,,"15",,AX_Gebaeude,DEBE04YY50000B0s
"020057","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,6223.313964843750000,1994/06/01 00:00:00.000,958,"1010",Wohnhaus,,,"5",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004018380002","4200",Aus Katasterkarten digitalisiert,"01838, 02143, 03266","Harlingeroder Weg 2, 6, 8, 10, 12; Ilsenburger Straße 11, 12; Nordhauser Straße 32, 33, 34, 35, 32A, 34A; Wernigeroder Straße 5, 7",,,,AX_Gebaeude,DEBE04YY5000099k
"020058","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,5485.676757812500909,1994/06/01 00:00:00.000,835,"1010",Wohnhaus,,,"7",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004018380001","4200",Aus Katasterkarten digitalisiert,"01838, 02143, 03571","Harlingeroder Weg 1, 3, 5, 7, 9, 11; Ilsenburger Straße 9, 10, 10A; Quedlinburger Straße 14, 16, 18, 20, 22, 24, 20A; Wernigeroder Straße 1, 3",,,,AX_Gebaeude,DEBE04YY50000HBS
"020059","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,12303.541992187500000,1994/06/01 00:00:00.000,57,,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY1R50006w
"020670","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,43202.726562500000000,1993/06/30 00:00:00.000,697,"2460",Gebäude zum Parken,,,"1",,,,,,,,,,"11000004006930001","4200",Aus Katasterkarten digitalisiert,"00693",Brahestraße,,"1","1",AX_Gebaeude,DEBE04YY50000Bwg
"020672","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,13669.580078125000000,1995/08/02 00:00:00.000,894,,,,,"2",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY1RC0004E
"020673","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,12674.413085937500000,1994/10/19 00:00:00.000,727,"1010",Wohnhaus,,,"5",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004032660028","4200",Aus Katasterkarten digitalisiert,"03266",Nordhauser Straße 28,"28",,,AX_Gebaeude,DEBE04YY5000087h
"020691","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,34357.222656250000000,1994/11/24 00:00:00.000,504,"1010",Wohnhaus,,,"3",,,,,,"1200",Freistehender Gebäudeblock,,,"11000004039290002","4200",Aus Katasterkarten digitalisiert,"03929","Scheinerweg 2, 4, 6, 8, 10",,,,AX_Gebaeude,DEBE04YY500004Tf
"020902","04",Charlottenburg-Wilmersdorf,"04300517",Bahnblock,unbewohnt,44769.953125000000000,1994/11/24 00:00:00.000,1022,"2522",Umspannwerk,,,"2",,,,,,,,,,"11000004044240027","4200",Aus Katasterkarten digitalisiert,"04424",Tegeler Weg 27,"27",,,AX_Gebaeude,DEBE04YY500006hZ
"021060","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,15312.609375000000000,1993/07/01 00:00:00.000,505,"1010",Wohnhaus,,,"6",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004024390022","4200",Aus Katasterkarten digitalisiert,"02439, 03571","Klaustaler Straße 22, 24; Quedlinburger Straße 6",,,,AX_Gebaeude,DEBE04YY500009j0
"021061","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,130373.609375000000000,2003/06/18 00:00:00.000,770,,,,,"2",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000QB0
"021062","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,26549.175781250000000,1994/11/24 00:00:00.000,250,"1000",Wohngebäude,,,"7",,,,,,,,"3000",Geplant und beantragt,"11000004016320001","9998",Nach Quellenlage nicht zu spezifizieren,"01632",Goslarer Ufer 1A,1A,,,AX_Gebaeude,DEBE04YY50000J6N
