gml_building_function,gml_id,teaser_id,building_function_alkis,alkis_code
,,,"Gradierwerk, Saline (soweit nicht OS 3912)",1774
,,,Grundstoff (allgemein),1778
,,,Betriebliche Sozialeinrichtung (Gebäude),1781
,,,Windmühle,1911
,,,"Wassermühle, Schöpfwerk",1913
,,,Gemischt genutztes Gebäude mit Wohnungen (allgemein),2101
,,,Gebäude für Verkehr (allgemein),2301
,,,Straßenmeisterei,2311
,,,Wartehalle,2312
,,,Fahrzeughalle,2313
,,,Straßenverkehrsgebäude (allgemein),2318
,,,Bahnwärterhaus,2321
,,,"Lokschuppen, Wagenhalle",2322
,,,"Stellwerk, Blockstellengebäude",2323
,,,Güterbahnhofsgebäude,2324
,,,Schienenverkehrsgebäude (allgemein),2328
,,,Flugzeughalle,2332
,,,Gebäude für Luftfahrt (allgemein),2338
,,,Werft,2341
,,,Dock,2342
,,,Schleuse,2343
,,,Bootshaus,2344
,,,Schiffahrtsgebäude (allgemein),2348
,,,Spannwerk,2351
,,,Gebäude für Seilbahn (allgemein),2358
,,,Parkhaus,2361
,,,Parkdeck,2362
,,,Tiefgarage,2363
,,,Sammelgarage,2364
,,,Doppelgarage,2365
,,,Einzelgarage,2366
,,,"Überdachter Stellplatz (soweit nicht Folie 082, OS 5315)",2367
,,,Gebäude für Parken (allgemein),2368
,,,Wasserturm,2514
,,,Wasserbehälter,2515
,,,Gebäude für Wasserversorgung (allgemein),2518
,,,"Sendeturm, Fernmeldeturm",2541
,,,Gebäude für Funk- und Fernmeldewesen (allgemein),2548
,,,Öltank,2551
,,,Oberirdisches Gebäude an unterirdischen Leitungen,2561
,,,Gasometer,2572
,,,Heizwerk,2581
,,,Gebäude für Entsorgung (allgemein),2601
,,,Abwasserbeseitigung (soweit nicht OS 2611-2617),2619
,,,Gebäude für Abfallbeseitigung (allgemein),2628
,,,Gebäude für Land- und Forstwirtschaft (allgemein),2701
,,,Landwirtschaftliches Wohngebäude,2711
,,,"Futtersilo (soweit nicht OS 1742, 3931)",2725
,,,Landwirtschaftliches Wohn- und Betriebsgebäude,2731
,,,Forsthaus,2736
,,,"Jagdhaus, Jagdhütte",2737
,,,Landwirtschaftliches Wohn- und Betriebsgebäude (allgemein),2738
,,,Gewächshaus (allgemein),2748
,,,Gebäude für Erholung (allgemein),2801
,,,Sporthalle,2811
,,,Sportplatzgebäude,2812
