geometry,index_right,blknr,bez,bezname,plr,blktypname,ewk,area,datum
"POLYGON ((384736.629 5820498.484, 384738.18 5820500.44, 384739.558 5820502.178, 384743.637 5820498.945, 384743.397 5820498.642, 384740.709 5820495.251, 384736.667 5820498.454, 384736.647 5820498.47, 384736.629 5820498.484))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((384891.151 5820546.501, 384884.413 5820546.631, 384875.609 5820546.83, 384868.644 5820546.864, 384869.052 5820568.497, 384865.797 5820568.566, 384863.194 5820568.621, 384863.232 5820569.827, 384854.526 5820570.075, 384854.41 5820568.781, 384847.715 5820568.975, 384847.725 5820569.653, 384848.075 5820593.755, 384863.582 5820593.286, 384863.611 5820595.049, 384863.695 5820600.408, 384863.731 5820602.729, 384863.838 5820609.506, 384860.225 5820609.57, 384860.478 5820613.72, 384864.021 5820613.644, 384864.431 5820634.186, 384877.602 5820633.907, 384877.401 5820624.429, 384875.158 5820624.528, 384875.044 5820617.941, 384886.895 5820617.767, 384886.836 5820616.215, 384874.531 5820616.476, 384873.823 5820581.331, 384886.197 5820581.082, 384886.31 5820587.034, 384891.931 5820586.877, 384891.909 5820585.832, 384910.892 5820585.428, 384910.787 5820580.5, 384913.243 5820580.448, 384912.883 5820565.258, 384910.619 5820565.28, 384910.533 5820560.559, 384902.112 5820560.732, 384891.445 5820560.951, 384891.151 5820546.501))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((384737.237 5820492.017, 384744.104 5820486.408, 384734.548 5820484.458, 384731.741 5820486.794, 384736.413 5820492.69, 384737.237 5820492.017))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((384735.47 5820502.587, 384733.064 5820504.493, 384746.051 5820520.41, 384748.316 5820518.562, 384753.01 5820514.735, 384754.916 5820513.179, 384751.522 5820508.896, 384751.827 5820508.654, 384748.36 5820504.349, 384749.035 5820503.716, 384749.259 5820503.372, 384749.385 5820502.982, 384749.407 5820502.573, 384749.322 5820502.172, 384749.136 5820501.807, 384748.861 5820501.502, 384748.591 5820501.16, 384748.065 5820500.497, 384746.101 5820502.054, 384744.174 5820499.622, 384742.148 5820501.227, 384740.093 5820502.855, 384738.18 5820500.44, 384735.47 5820502.587))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((384912.73 5820722.827, 384923.09 5820735.726, 384927.254 5820726.827, 384930.825 5820719.195, 384931.401 5820717.964, 384920.609 5820704.8, 384919.632 5820703.608, 384913.898 5820708.31, 384914.948 5820709.561, 384907.265 5820716.022, 384907.006 5820716.24, 384912.605 5820723.063, 384912.73 5820722.827))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((384746.101 5820502.054, 384748.065 5820500.497, 384748.591 5820501.16, 384754.106 5820496.569, 384750.741 5820492.528, 384743.397 5820498.642, 384744.174 5820499.622, 384746.101 5820502.054))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((384780.175 5820562.238, 384791.559 5820576.181, 384801.797 5820568.01, 384790.476 5820553.994, 384780.175 5820562.238))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((384831.05 5820570.736, 384830.951 5820569.335, 384830.233 5820569.32, 384831.842 5820574.39, 384838.657 5820574.195, 384838.556 5820569.163, 384835.677 5820569.227, 384835.766 5820570.653, 384831.05 5820570.736))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((384783.697 5820512.794, 384776.319 5820503.497, 384768.641 5820509.694, 384773.074 5820509.296, 384779.06 5820516.713, 384783.697 5820512.794))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((384969.707 5820720.083, 384965.98 5820720.193, 384966.243 5820727.724, 384969.957 5820727.602, 384969.962 5820726.924, 384969.794 5820720.87, 384969.707 5820720.083))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((384807.916 5820556.467, 384812.16 5820552.939, 384817.124 5820548.926, 384808.963 5820538.884, 384799.673 5820546.42, 384807.916 5820556.467))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((384807.176 5820516.909, 384804.449 5820513.498, 384799.741 5820517.452, 384802.315 5820520.877, 384807.176 5820516.909))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((384790.476 5820553.994, 384782.208 5820543.913, 384778.953 5820539.944, 384776.21 5820542.183, 384771.512 5820546.017, 384768.769 5820548.256, 384780.175 5820562.238, 384782.958 5820560.01, 384787.693 5820556.222, 384790.476 5820553.994))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((384765.472 5820488.85, 384765.671 5820491.042, 384766.525 5820490.005, 384769.396 5820489.782, 384770.263 5820491.02, 384770.818 5820497.121, 384770.035 5820498.538, 384775.414 5820498.054, 384774.427 5820487.982, 384765.472 5820488.85))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((385040.311 5820448.717, 385040.291 5820451.794, 385047.436 5820451.99, 385047.377 5820448.814, 385040.311 5820448.717))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((384790.164 5820486.708, 384792.433 5820486.497, 384791.295 5820475.572, 384773.379 5820477.293, 384774.445 5820488.17, 384790.164 5820486.708))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((385045.7 5820632.719, 385049.286 5820632.511, 385048.394 5820614.494, 385047.248 5820591.346, 385043.017 5820591.57, 385045.7 5820632.719))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((384898.721 5820706.218, 384900.506 5820704.762, 384898.573 5820702.201, 384896.758 5820703.683, 384898.721 5820706.218))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
